Tweet,Time,Result
 Unbelievable. @tacobell https://t.co/pHIZWIUnRD,2020-02-13 04:09:52,positive
" @tacobell please bring back the chalupa box, it was the best thing y’all had. Fry box ain’t it.",2020-02-13 04:09:44,positive
" I went to #TacoBell 🌮🛎 again. Had to ""Run for the Border"". #LOVE💘 their #Burritos🌯 #Tacos🌮  #Nachos &amp; their #Cheese… https://t.co/CG2RKqaXjI",2020-02-13 04:08:58,positive
 @tyvid5 @tacobell @StubHub @Rebecca_Mich If only I was closer I would come! Break a leg!,2020-02-13 04:07:16,negative
" Umm @tacobell you wanna chime in about this, tell us what is going on? #WednesdayThoughts #tacobell https://t.co/dYYHDyRqMr",2020-02-13 04:07:00,positive
 @tacobell Do you ever intend to open a location in Miami Beach???,2020-02-13 04:06:38,positive
" @tacobell My sister went through your drive thru in Cortez, CO and it looks like the whole team needs to be trained… https://t.co/KqPwD29oNE",2020-02-13 04:06:06,negative
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 04:05:42,positive
" RT @GrizzliesOnFSSE: Just stop it, @JaMorant. 

@tacobell // #GrindCity https://t.co/yVwhvPI8y1",2020-02-13 04:05:15,positive
 @RunDaltonRun @tacobell thought I’d share. This @tacobell location is literally an inside joke between my girlfrien… https://t.co/U8OGoq8yHd,2020-02-13 04:04:46,negative
" If you’re having a bad day, continue reading: 
I went to go pick up a Calizone Cory ordered over the phone and acci… https://t.co/eo8ZuXM15U",2020-02-13 04:03:35,negative
" RT @HawksOnFSSE: Can we keep this @jcollins20_ dunk on repeat? Please and thank you.

@tacobell // #TrueToAtlanta https://t.co/euGt39vYHQ",2020-02-13 04:03:19,positive
 hi im simpin for the @tacobell buffalo chicken burrito -thx don’t text,2020-02-13 04:02:55,positive
" RT @FSIndiana: Myles hits the 3 and is into double digits in the first half! #Pacers
@tacobell https://t.co/4YHfXBLw5R",2020-02-13 04:02:51,positive
" I'll never be able to thank @tacobell enough for the Breakfast Crunchwrap...

https://t.co/E0ytGW7GPh",2020-02-13 04:02:25,positive
" @Poofesure @tacobell finally a man of culture, that was the best sauce",2020-02-13 04:01:58,positive
 @Richa_Anand_ crushing it @csufprssa Past Presidents Panel! #tacobell https://t.co/xwtcplWSVR,2020-02-13 04:00:10,positive
 Yo @tacobell those new spicy cheese fries are the bomb,2020-02-13 04:00:01,positive
